# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-02-03 at 05:02:20
#
# Requested input R.A. = 144.98320833333332 degrees
# Requested input Dec. = 16.09497222222222 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459523.5 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 570 3 0 ZTF_g 448274710815 0 2.5872 118.236 8.96088 26.31 1.90678e-05 0.0328424 -0.0379902 3.02126e-05 388 30. 0.046278 0.052123 20.0393 26.31 1 2458202.7747106 570120108 14.0561757983988 41.1919478694413 0.379585533089485 0.696618968809472 28.4698225992005 65.0702190815012 0.440471369191425 1.10059205104738 null null null null null 2458166.780937 2458438.004549 56,57
 1 570 3 0 ZTF_g 453259230815 0 1.9879 120.095 18.0096 26.3316 2.67061e-05 0.0354495 -0.0316733 5.03645e-05 314 30. 0.044552 0.043839 19.4177 26.3316 1 2458207.7592361 570120108 -31.4357757353432 78.3518377059931 -0.446302989409464 0.87074784650252 -119.238944975234 143.956095850429 -0.833879422895493 1.05965915731286 null null null null null 2458166.780937 2458438.004549 56,57
 2 570 3 0 ZTF_g 453289460815 1 2.0819 85.8193 42.5483 25.7947 0.000333998 0.0793296 -0.0713582 0.000712344 147 30. 0.05063 0.043856 17.8456 25.7947 1 2458207.7894676 570120108 5.79413629816676 142.329527419523 0.0452843877945018 0.81952937277602 565.918320825122 256.287661515934 2.2230091371001 1.05920104152339 null null null null null 2458166.780937 2458438.004549 56,57
 3 570 3 0 ZTF_g 456230970815 0 2.3243 89.0693 14.0077 25.9919 7.62967e-05 0.0572156 -0.0190233 0.000150083 288 30. 0.051095 0.049109 19.197 25.9919 1 2458210.7309722 570120108 -17.7357641138054 64.6947082401922 -0.30495513207935 0.880857597784305 35.6146465388693 108.070629735628 0.331769263490963 1.07884103345101 null null null null null 2458166.780937 2458438.004549 56,57
 4 570 3 0 ZTF_g 456255700815 0 1.9783 97.1934 14.6947 26.0929 3.45788e-05 0.0413536 -0.0311092 6.20912e-05 329 30. 0.047449 0.048264 19.3849 26.0929 1 2458210.755706 570120108 24.0175393696952 65.059030578598 0.410653685300896 0.722693831584963 85.3621754205554 116.337326338296 0.7386889254565 1.06910867545572 null null null null null 2458166.780937 2458438.004549 56,57
 5 570 3 0 ZTF_r 460183440815 0 1.9357 191.599 125.083 23.7572 0.000253211 0.0696107 0.0812804 0.000451735 153 30. 0.056919 0.051441 17.1939 26.275 1 2458214.6834491 570120208 -498.632356977472 572.41751232209 -0.968996807585995 0.803787427516106 -746.862631580222 1063.66560250879 -0.706888323361362 1.06247899265678 4.85235229717425 20.939999961853 0.0579999983310699 1.05599999427795 0.046000000089407 2458154.753773 2458184.769826 56
 6 570 3 0 ZTF_r 460194070815 0 2.2662 190.85 47.5858 24.6495 6.31245e-05 0.052047 0.12706 9.80166e-05 300 30. 0.061343 0.055269 18.1391 26.275 1 2458214.6940741 570120208 null null null null null null null null 4.85235229717425 20.939999961853 0.0579999983310699 1.05599999427795 0.046000000089407 2458154.753773 2458184.769826 61
 7 570 3 3 ZTF_r 463198341115 0 1.5324 183.493 10.8205 25.8577 1.18207e-05 0.0258865 0.105843 1.59137e-05 388 30. 0.053193 0.049964 20.0815 26.275 1 2458217.6983449 570120211 null null null null null null null null null null null null null 2458154.753773 2458184.748507 56,57
 8 570 3 3 ZTF_r 463219901115 0 1.8754 183.626 8.97908 25.9866 1.28062e-05 0.0271192 0.102265 1.72422e-05 388 30. 0.046419 0.048561 20.1669 26.275 1 2458217.7199074 570120211 null null null null null null null null null null null null null 2458154.753773 2458184.748507 57,61
