,ZTFID,fcqfid,bl_pre,bl_post,Consistent,Warning,Missing_pre,Missing_post,N_pre_peak,N_post_peak
0,ZTF19aauplxw,4281411,5.50211298630599,18.7276297575601,-1,,0,0,23,67
1,ZTF19aauplxw,4281412,-3.13002018060943,-7.42119553197239,1,,0,0,47,309
2,ZTF19aauplxw,4790231,2.77824607436675,3.83266182681038,1,,0,0,31,133
3,ZTF19aauplxw,4790232,0.624086709762527,-13.894819361586851,-1,,0,0,57,356
4,ZTF19aauplxw,4790233,-43.1676488249791,-43.9976515279792,1,,0,0,11,35
5,ZTF19abdvpfj,6801201,-0.0334269861958544,9.16668227138568,-1,,0,0,401,37
6,ZTF19abdvpfj,6801202,7.74237568813169,14.827725020676251,-1,,0,0,402,32
7,ZTF19abdvpfj,6801203,6.95550804961325,2.480993917891155,1,,0,0,29,10
8,ZTF19abdvpfj,17210202,-3.8146129769848205,18.69059141531085,-1,,0,0,16,6
9,ZTF19abyfbik,5871011,9.91700325681816,16.26982870740695,-1,,0,0,377,88
10,ZTF19abyfbik,5871012,-5.9301635872276,-14.4009326343993,-1,,0,0,410,97
11,ZTF19abyfbik,5871013,3.61958531265852,9.84617164729046,1,,0,0,33,35
12,ZTF19abyfbik,16320111,-1.2046855386455952,-13.27221930987633,1,,0,0,6,4
13,ZTF19abyfbik,16320112,-7.26325200228541,-57.2925708263061,1,,0,0,3,3
14,ZTF19acfsqjx,8650721,15.00668709138655,22.301771024674,-1,,0,0,248,117
15,ZTF19acfsqjx,8650722,-22.8775049858972,-11.0709007296549,-1,,0,0,272,117
16,ZTF19acfsqjx,8650723,-0.5585013480371479,17.72027039686955,-1,,0,0,44,56
17,ZTF19acnfjyw,6471501,-1.71471174316285,1.23785216081484,1,,0,0,65,155
18,ZTF19acnfjyw,6471502,6.4646898599784155,11.20100296420515,1,,0,0,76,170
19,ZTF19acnfjyw,6471503,-3.315990259396565,-12.4830020714724,-1,,0,0,34,41
20,ZTF19acnfjyw,6930331,-6.90742140110241,-10.0705235608295,1,,0,0,71,51
21,ZTF19acnfjyw,6930332,-11.2428587657521,-5.964017001482205,1,,0,0,81,48
22,ZTF19acnfjyw,6930333,-3.11818798576395,-0.284691604065939,1,,0,0,33,39
23,ZTF19abidfsb,3430701,10.553383329448565,0.4104828701578315,1,,0,0,44,54
24,ZTF19abidfsb,3430702,-1.43819012098925,3.234266686242805,1,,0,0,40,76
25,ZTF19abidfsb,3430703,,-31.474787917547,0,,1,0,0,7
26,ZTF19abidfsb,13351611,,,0,,1,1,0,2
27,ZTF19aaeoqst,6330401,3.181370839912235,5.031911339225445,1,,0,0,272,294
28,ZTF19aaeoqst,6330402,6.31328205552397,9.39181821004558,1,,0,0,280,323
29,ZTF19aaeoqst,6330403,6.93990615496248,5.93959876913413,1,,0,0,21,85
30,ZTF19aaeoqst,16290911,,,0,,1,1,0,2
31,ZTF19aaeoqst,16290912,,-389.262341176375,0,,1,0,0,5
32,ZTF19aaksxgp,4251031,2.8631944397913,9.2493007803636,1,,0,0,18,73
33,ZTF19aaksxgp,4251032,14.525993192850699,-4.86033935598884,-1,,0,0,26,106
34,ZTF19aaksxgp,4251033,-119.664304017254,-147.521072203187,-1,,0,0,5,28
35,ZTF19aadnwvc,5791011,0.6717014673322325,-0.3370606649512605,1,,0,0,30,168
36,ZTF19aadnwvc,5791012,0.30151661372909944,-8.07703949939383,1,,0,0,26,250
37,ZTF19aadnwvc,5791013,-0.2935621274681899,11.1144589197855,-1,,0,0,14,55
38,ZTF19aaloqmd,6260921,-4.09293593811659,-13.9066639246177,-1,,0,0,62,159
39,ZTF19aaloqmd,6260922,0.9404482145619031,3.6964306480376,1,,0,0,68,279
40,ZTF19aaloqmd,6260923,9.03622517330654,-13.8645554804224,-1,,0,0,11,51
41,ZTF19aaloqmd,16710331,-26.97011011154935,-21.6493688712271,1,,0,0,4,5
42,ZTF19aaloqmd,16710332,,-5.822686086780415,0,,1,0,0,8
43,ZTF19abwsecm,4031121,7.442936138405869,-29.410841097432304,-1,,0,0,64,32
44,ZTF19abwsecm,4031122,-10.9278689607982,-23.415744912514,1,,0,0,83,25
45,ZTF19abwsecm,4031123,,-1311.190039403105,0,,1,0,0,14
46,ZTF19abcegvm,3421631,3.53864128561102,-10.114156686490304,1,,0,0,27,32
47,ZTF19abcegvm,3421632,-6.27227458080805,5.967174195460795,1,,0,0,28,42
48,ZTF19abcegvm,3421633,-241.485734503572,-240.170343550508,1,,0,0,11,21
49,ZTF19acjuomg,8260111,-9.94776574279078,-10.7156221241858,1,,0,0,493,147
50,ZTF19acjuomg,8260112,4.29253537564964,6.70730779501925,1,,0,0,476,141
51,ZTF19acjuomg,8260113,9.419057197118704,-2.01583776971959,-1,,0,0,48,53
52,ZTF19acjuomg,18321201,3.49030803940734,29.71588063594365,-1,,0,0,9,8
53,ZTF19acjuomg,18321202,0.990214359825475,,0,,0,1,47,0
54,ZTF19abafmwj,7241311,2.082586124531775,-7.2309421368239,-1,,0,0,432,389
55,ZTF19abafmwj,7241312,-2.16131320840646,-11.911486757465699,-1,,0,0,429,416
56,ZTF19abafmwj,7241313,2.252130980729783,-7.66848484964979,1,,0,0,28,60
57,ZTF19abafmwj,17630711,,-44.4376765962199,0,,1,0,2,13
58,ZTF19abafmwj,17630712,-87.6497774315973,,0,,0,1,25,0
59,ZTF19abaosan,4791301,-2.69346279010009,-20.7180206402322,-1,,0,0,34,115
60,ZTF19abaosan,4791302,3.79068281465074,-26.0299043105799,-1,,0,0,59,280
61,ZTF19abaosan,4791303,1.11163881095188,-11.82802710522076,1,,0,0,13,32
62,ZTF19abaosan,4801611,2.520026298071135,-5.624389022737651,1,,0,0,42,100
63,ZTF19abaosan,4801612,-10.2797760252879,-4.39995397076636,1,,0,0,61,221
64,ZTF19abaosan,4801613,-3.2325710835587227,21.29461109204635,-1,,0,0,14,34
65,ZTF19abyzuos,8561001,-2.21743179461689,2.51255821425194,1,,0,0,127,67
66,ZTF19abyzuos,8561002,15.4718014002284,17.23798957938635,1,,0,0,153,68
67,ZTF19abyzuos,18830211,,,0,,1,1,0,0
68,ZTF19abyzuos,18830212,,,0,,1,1,0,0
69,ZTF19abwsdic,3441121,-3.67698847698274,14.9640411476881,-1,,0,0,60,33
70,ZTF19abwsdic,3441122,3.077617906355875,10.66525644220515,1,,0,0,70,38
71,ZTF19abwsdic,3441123,,-38.982184983984254,0,,1,0,0,6
72,ZTF19abwsdic,13870231,,-4.36735149426976,0,,1,0,0,25
73,ZTF19abwsdic,13870232,,-56.8321118072757,0,,1,0,0,25
74,ZTF19aavhxby,4270931,-4.686560953927288,13.7208410590301,1,,0,0,40,31
75,ZTF19aavhxby,4270932,-36.0033629397786,-6.24916671252194,-1,,0,0,49,33
76,ZTF19aavhxby,4270933,-787.7484654716385,-1052.39995072601,-1,,0,0,4,10
77,ZTF19aavhxby,4281221,-9.5488077883894,-43.136992673404905,-1,,0,0,27,28
78,ZTF19aavhxby,4281222,-32.2326755778532,-82.4175611258,-1,,0,0,49,165
79,ZTF19aadnxat,8210111,-6.80450167033841,-11.0108569316816,1,,0,0,169,175
80,ZTF19aadnxat,8210112,-13.3930729787162,-10.414678941133701,1,,0,0,142,164
81,ZTF19aadnxat,8210113,-7.45719802329918,9.57510490417051,-1,,0,0,19,52
82,ZTF19aabyuze,7891531,2.469955898032505,3.93960886430746,1,,0,0,126,143
83,ZTF19aabyuze,7891532,1.6129606843724549,-3.7168151577916353,-1,,0,0,128,158
84,ZTF19aabyuze,7891533,-114.246287910335,-120.6156591264445,1,,0,0,11,46
85,ZTF19aabyuze,18230521,-764.9637501469615,,0,,0,1,6,0
86,ZTF19aabyuze,18230522,,-986.534399874356,0,bad baseline,1,0,0,9
87,ZTF19aadolpe,6690211,4.699329893738615,7.777789507894861,1,,0,0,38,122
88,ZTF19aadolpe,6690212,-4.37696966796427,9.841012677758535,-1,,0,0,41,210
89,ZTF19aadolpe,6690213,66.5023305311591,-13.4961105321745,-1,,0,0,3,38
90,ZTF19aadolpe,16660931,,-305.17877348803995,0,,1,0,0,8
91,ZTF19aadolpe,16660932,,-28.74958529753055,0,,1,0,0,10
92,ZTF19aadolpe,16660933,,,0,,1,1,0,0
93,ZTF19aadolpe,16671221,,-318.66917155017495,0,,1,0,0,6
94,ZTF19aadolpe,16671222,,-54.4686959022664,0,,1,0,0,9
95,ZTF19aadolpe,16671223,,,0,,1,1,0,0
96,ZTF19abwscog,2471631,-4.64354359124993,13.1264105134356,1,,0,0,47,18
97,ZTF19abwscog,2471632,-30.9165366587251,51.09568895019995,-1,,0,0,48,20
98,ZTF19abwscog,12880601,,-21.7687671877559,0,,1,0,0,9
99,ZTF19abwscog,12880602,,-59.53537428066795,0,,1,0,0,22
100,ZTF19abqrrto,7000601,7.29382346904866,23.17813109842485,-1,,0,0,62,26
101,ZTF19abqrrto,7000602,-0.662990547559199,22.78895171740945,-1,,0,0,67,112
102,ZTF19abqrrto,16981401,-935.771278938029,,0,long rise,0,1,15,0
103,ZTF19abqrrto,16981402,-862.534583264449,,0,long rise,0,1,17,0
104,ZTF19acsfvog,3970611,11.2133038338777,-40.0471987609093,1,,0,0,117,3
105,ZTF19acsfvog,3970612,-2.53922387691585,-16.2312560090667,-1,,0,0,150,6
106,ZTF19acsfvog,3970613,,,0,,1,1,0,2
107,ZTF19abvanim,7620311,-3.32702938592021,-3.8774753701235998,1,,0,0,531,266
108,ZTF19abvanim,7620312,2.880802230150315,-0.3553142651498675,-1,,0,0,548,264
109,ZTF19abvanim,7620313,-1.84038400056741,-2.05030422537398,1,,0,0,37,40
110,ZTF19abvanim,17610911,,,0,,1,1,0,0
111,ZTF19abvanim,17610912,-6.99165305426972,,0,,0,1,17,2
112,ZTF19aayveer,6410521,-5.491963744077495,-13.6058284733701,-1,,0,0,54,130
113,ZTF19aayveer,6410522,2.85600718399915,1.954196055160255,1,,0,0,107,166
114,ZTF19aayveer,16381431,-45.71128880571805,-24.427371757859852,-1,,0,0,12,26
115,ZTF19aayveer,16381432,-16.2865202435053,,0,,0,1,29,0
116,ZTF19aayslow,6740731,6.83459629296261,14.4606972435701,-1,,0,0,75,157
117,ZTF19aayslow,6740732,6.84753485306281,8.23657265131638,1,,0,0,69,196
118,ZTF19aayslow,6740733,-6.30271281772772,-4.59398929145972,1,,0,0,19,41
119,ZTF19aayslow,16711331,-24.7427500950118,,0,,0,1,6,0
120,ZTF19aayslow,16711332,4.02232371674154,,0,,0,1,7,2
121,ZTF19abvjcii,8471301,3.737711500358925,-4.36628450634507,1,,0,0,316,13
122,ZTF19abvjcii,8471302,-43.5191929816108,-58.29267828031131,1,,0,0,319,10
123,ZTF19abvjcii,8471303,-6.59600722735499,,0,,0,1,33,2
124,ZTF19abvjcii,8481601,8.9508609917436,-7.086521667138175,-1,,0,0,369,124
125,ZTF19abvjcii,8481602,41.9317803593538,-23.5916387204526,-1,,0,0,318,116
126,ZTF19abvjcii,8481603,-9.09089395537019,-68.6799350004733,-1,,0,0,36,39
127,ZTF19abvjcii,18750602,,,0,,1,1,0,2
128,ZTF19aayejww,7210711,10.332500470156,7.45272279492273,1,,0,0,271,177
129,ZTF19aayejww,7210712,-2.339026117976635,-12.9330847333276,-1,,0,0,352,172
130,ZTF19aayejww,7210713,-2.44649613822222,-5.84650468687196,1,,0,0,27,55
131,ZTF19aayejww,17191332,,,0,,1,1,0,0
132,ZTF19aayejww,17201622,,,0,,1,1,0,0
133,ZTF19acmwkul,4700931,19.99708643909455,25.1801047012102,1,,0,0,40,55
134,ZTF19acmwkul,4700932,-2.601913505182076,-14.4859413589043,1,,0,0,42,69
135,ZTF19acmwkul,4711221,-5.71870625365834,-14.40877614424795,-1,,0,0,47,36
136,ZTF19acmwkul,4711222,0.867533464711549,3.332749912226735,1,,0,0,37,64
137,ZTF19acmwkul,4711223,,-3.26285589777072,0,,1,0,0,9
138,ZTF19abakjci,7161111,13.1393082138657,17.30809260921305,1,,0,0,181,168
139,ZTF19abakjci,7161112,5.50147068115055,11.5654441028485,-1,long decline,0,0,193,213
140,ZTF19abakjci,7161113,7.3998616441052,3.0752984045304,1,,0,0,15,34
141,ZTF19abakjci,17550311,-16.0762914220819,,0,,0,1,9,0
142,ZTF19abakjci,17550312,8.80967164324998,163.077065194935,-1,,0,0,11,3
143,ZTF19aapcoqg,7470111,-2.669923072935455,9.605773405394395,-1,,0,0,62,36
144,ZTF19aapcoqg,7470112,-0.331369667847375,-7.8455429930882605,1,,0,0,68,62
145,ZTF19aapcoqg,17460911,-14.6542213431968,,0,,0,1,8,0
146,ZTF19aapcoqg,17460912,2.57825502773124,,0,,0,1,11,0
147,ZTF19abecaca,6761031,5.80074907425659,19.2817342049551,-1,,0,0,433,63
148,ZTF19abecaca,6761032,-0.672942768623956,64.26415877760141,-1,,0,0,273,84
149,ZTF19abecaca,6761033,-12.6776241271653,7.501820827025465,-1,,0,0,29,18
150,ZTF19abecaca,17180331,-22.59377482526495,,0,,0,1,6,0
151,ZTF19abecaca,17180332,5.89610940482721,,0,,0,1,7,0
152,ZTF19aafljiq,5741121,8.01346203336792,19.1348347805912,1,,0,0,33,72
153,ZTF19aafljiq,5741122,-6.67286323321008,-6.05932387823527,1,,0,0,35,105
154,ZTF19aafljiq,5741123,,-79.11858081025144,0,,1,0,0,34
155,ZTF19aafljiq,16190231,-617.5321482773525,-567.3224842650429,1,,0,0,4,6
156,ZTF19aafljiq,16190232,-18.7391844632516,-69.0713411516767,-1,,0,0,5,9
157,ZTF19aapfktd,4241011,2.92217007081082,12.890988923561949,1,,0,0,25,54
158,ZTF19aapfktd,4241012,13.4743631439306,12.39419917464825,1,,0,0,34,70
159,ZTF19aapfktd,4241013,-63.7263475206742,-70.4988204968787,1,,0,0,3,15
160,ZTF19aanuipj,7971301,9.94091946761381,-19.8910910547921,-1,,0,0,410,117
161,ZTF19aanuipj,7971302,-6.36817510631759,-22.0479156358922,-1,,0,0,421,111
162,ZTF19aanuipj,7971303,-13.1256730276867,-15.045285280013701,1,,0,0,30,52
163,ZTF19aanuipj,7981611,-4.3521152384066,-5.402015934454215,1,,0,0,415,108
164,ZTF19aanuipj,7981612,-1.88994905129651,-16.37533169213795,-1,,0,0,373,112
165,ZTF19aanuipj,7981613,-3.55397312865369,-17.0647060033792,-1,,0,0,31,51
166,ZTF19aanuipj,18310512,,,0,,1,1,0,0
167,ZTF19aaknate,4691101,16.2861886708768,10.4851806269135,1,,0,0,12,79
168,ZTF19aaknate,4691102,-8.79995951061981,-11.72909719547902,1,,0,0,17,72
169,ZTF19aaknate,4691103,,-13.5829371259229,0,,1,0,0,11
170,ZTF19acmywjc,5750201,1.43389540961652,-3.9562576831591096,1,,0,0,80,46
171,ZTF19acmywjc,5750202,9.231050852750524,8.098710691010394,1,,0,0,76,58
172,ZTF19acmywjc,5750203,,-98.2047971196258,0,,1,0,0,15
173,ZTF19acmywjc,15700932,,,0,,1,1,0,2
174,ZTF19acmywjc,15711222,22.2692418967436,2.64115378354971,1,,0,0,7,3
175,ZTF19aavxpbx,3760131,11.838682095638749,-6.80753878684453,-1,,0,0,24,49
176,ZTF19aavxpbx,3760132,-1.5403243830614,10.3768476399557,-1,,0,0,41,291
177,ZTF19aavxpbx,3770421,-9.595523110481299,-0.992822607032368,1,,0,0,24,49
178,ZTF19aavxpbx,3770422,-3.43230936825279,-12.3897882317154,1,,0,0,34,313
179,ZTF19aburnqh,8131131,1.42040671543324,-3.35338614008597,1,,0,0,134,33
180,ZTF19aburnqh,8131132,-4.51345196021547,4.05785342592709,1,,0,0,141,35
181,ZTF19accmxtw,5970811,0.418111083658461,0.5912851892192774,1,,0,0,65,184
182,ZTF19accmxtw,5970812,-23.2943562138428,-43.08472226158785,1,,0,0,85,142
183,ZTF19accmxtw,5970813,-23.38315531435045,-5.798641226755555,1,,0,0,36,38
184,ZTF19accmxtw,15921301,23.8676896874995,,0,,0,1,14,0
185,ZTF19accmxtw,15921302,7.7818674094002445,,0,,0,1,34,0
186,ZTF19accmxtw,15931611,-12.51877273128915,,0,,0,1,20,0
187,ZTF19accmxtw,15931612,-6.45893665411829,,0,,0,1,31,0
188,ZTF19aadnhdo,7471401,-1.57178223192112,-11.4636178951896,1,,0,0,29,243
189,ZTF19aadnhdo,7471402,2.59328541400115,7.048540378875225,1,,0,0,21,360
190,ZTF19aadnhdo,7471403,,1.53288038125592,0,,1,0,0,45
191,ZTF19aadnhdo,17850711,,,0,,1,1,0,0
192,ZTF19aadnhdo,17850712,,,0,,1,1,0,0
193,ZTF19aacjbsj,7640521,12.5435042980464,24.6523419133681,-1,,0,0,431,113
194,ZTF19aacjbsj,7640522,0.502111699783589,45.2737115617522,-1,,0,0,407,111
195,ZTF19aacjbsj,7640523,2.45370702825206,20.012729764975298,-1,,0,0,28,52
196,ZTF19aacjbsj,17641421,-757.228001901419,-794.4846641994666,1,,0,0,10,6
197,ZTF19aacjbsj,17641422,-29.7799630416396,,0,,0,1,28,0
198,ZTF19abdmfgf,4791011,2.5301381366606,-18.101060258045948,-1,,0,0,37,118
199,ZTF19abdmfgf,4791012,-49.705704440392,-78.7095910150122,-1,,0,0,58,337
200,ZTF19abdmfgf,4791013,-24.5152975449612,-71.09548050515329,-1,long rise,0,0,11,36
201,ZTF19aawmkja,7651411,85.6355596288657,27.08009581210165,-1,,0,0,405,82
202,ZTF19aawmkja,7651412,71.48865064419,-1.37706476320911,-1,,0,0,581,15
203,ZTF19aawmkja,7651413,-15.7667754937184,-96.5026620485958,-1,,0,0,28,21
204,ZTF19aawmkja,7980121,27.0128105793959,-1.17537270419473,-1,,0,0,421,99
205,ZTF19aawmkja,7980122,55.8189332532829,-27.0857718976595,-1,,0,0,366,89
206,ZTF19aawmkja,7980123,-8.209595418703326,-6.03046758324793,1,,0,0,24,47
207,ZTF19aaujiwc,5290131,-31.570432447144697,-31.0273781927214,1,,0,0,40,116
208,ZTF19aaujiwc,5290132,-24.35342587404925,-27.6427673728058,1,,0,0,40,175
209,ZTF19aaujiwc,5290133,-129.4416604285035,-164.89841877044148,-1,,0,0,8,36
210,ZTF19abzlsbl,3520901,-2.924986612599215,19.1537771987664,-1,,0,0,74,28
211,ZTF19abzlsbl,3520902,5.903876373087385,8.39936139186912,1,,0,0,86,25
212,ZTF19abzlsbl,3531211,7.031623121948664,5.377343732325345,1,,0,0,72,26
213,ZTF19abzlsbl,3531212,-3.11564841507504,-6.50871553750835,1,,0,0,84,29
214,ZTF19abzlsbl,3531213,,19.8045331996027,0,,1,0,0,10
215,ZTF19abzlsbl,13970211,-584.7416080947205,,0,,0,1,4,0
216,ZTF19abzlsbl,13970212,-542.992850470546,,0,,0,1,4,0
217,ZTF19abbthwy,4771411,-10.117709050166699,-4.69339006700126,1,,0,0,56,68
218,ZTF19abbthwy,4771412,-6.56958398547736,-21.0553684476049,-1,,0,0,62,234
219,ZTF19abbthwy,4771413,12.9322672464201,10.905119004166949,1,,0,0,11,34
220,ZTF19acnjwgm,6051521,9.01804417072974,18.3295764660701,1,,0,0,59,3
221,ZTF19acnjwgm,6051522,2.02971813327825,33.2480849422416,1,,0,0,70,3
222,ZTF19acnjwgm,16500831,-4.70716139898418,,0,,0,1,15,0
223,ZTF19acnjwgm,16500832,-2.2087057462913,,0,,0,1,26,0
224,ZTF19aawfcgp,6441111,-7.779740398951086,7.877630124871301,-1,,0,0,56,208
225,ZTF19aawfcgp,6441112,2.7712139919311003,4.95163942048763,1,,0,0,64,241
226,ZTF19aawfcgp,6441113,-6.58356266970124,8.23324044737829,-1,,0,0,23,41
227,ZTF19aakirwj,4711011,7.858276064144715,5.250969921685875,1,,0,0,24,66
228,ZTF19aakirwj,4711012,20.33929652499785,11.8981672051831,1,,0,0,20,111
229,ZTF19aakirwj,4711013,,-8.991467637834925,0,,1,0,0,12
230,ZTF19accmboe,7641531,7.56346611579508,-19.5635124256497,-1,,0,0,594,47
231,ZTF19accmboe,7641532,3.84440351554815,-38.50744665456255,-1,,0,0,575,42
232,ZTF19accmboe,7641533,-17.05798646865535,-46.31648244222375,-1,,0,0,48,24
233,ZTF19accmboe,18000631,-0.537519138802416,1.9948659904016006,1,,0,0,11,4
234,ZTF19accmboe,18000632,-11.280117975981799,,0,,0,1,48,0
235,ZTF19aaycomi,5480101,1.97445931049337,-8.3962354627501,-1,,0,0,49,86
236,ZTF19aaycomi,5480102,-5.483036193002155,-23.4822645788704,-1,,0,0,60,84
237,ZTF19aaycomi,5480103,-7.870040579171301,-18.439893542972648,1,,0,0,20,34
238,ZTF19aaycomi,5490411,1.5783659443038824,6.109236293229785,1,,0,0,48,76
239,ZTF19aaycomi,5490412,-9.01392298645469,-4.04604899294049,1,,0,0,61,72
240,ZTF19aaycomi,5490413,-1.97303924013362,1.7024032752052851,1,,0,0,27,28
241,ZTF19aaycomi,15430901,-20.6049374103419,,0,,0,1,14,0
242,ZTF19aaycomi,15430902,-14.0203244724387,,0,,0,1,21,0
243,ZTF19aapocyd,7610111,21.91743750654095,-3.8873975349694,-1,,0,0,366,215
244,ZTF19aapocyd,7610112,-21.639884173856,-31.25790740200035,-1,,0,0,365,212
245,ZTF19aapocyd,7610113,16.5883150804661,20.5939454550739,1,,0,0,21,63
246,ZTF19aapocyd,17611132,-180.377080806698,,0,,0,1,11,2
247,ZTF19aajwhbc,7890611,10.2968146003849,15.8370164416646,1,,0,0,143,174
248,ZTF19aajwhbc,7890612,4.95275728124162,5.20756036733371,1,,0,0,123,234
249,ZTF19aajwhbc,17911321,-81.2696858395194,-134.964831631256,1,,0,0,4,11
250,ZTF19aajwhbc,17911322,,-123.98189233102,0,,1,0,0,15
251,ZTF19aanijpu,5281411,-5.58880060745814,6.31230676128132,-1,,0,0,45,131
252,ZTF19aanijpu,5281412,23.147059840258052,29.9467356855348,1,,0,0,46,183
253,ZTF19aanijpu,5281413,0.3161693338730096,-15.6327259574799,1,,0,0,10,33
254,ZTF19aanijpu,15740511,,,0,,1,1,2,0
255,ZTF19acbvrhb,2561111,-11.29287349264625,-18.3686470687509,1,,0,0,24,43
256,ZTF19acbvrhb,2561112,8.054080633476955,5.77724819062817,1,,0,0,30,113
257,ZTF19acbvrhb,12970101,,-13.6438023780357,0,,1,0,0,7
258,ZTF19acbvrhb,12970102,,4.98942154606961,0,,1,0,0,15
259,ZTF19acbvrhb,12980411,,-31.4025258266524,0,,1,0,0,4
260,ZTF19abxdnhr,6810721,-3.33846525661939,-15.4991492738967,-1,,0,0,493,285
261,ZTF19abxdnhr,6810722,-4.22440950402434,-20.0095698124368,-1,,0,0,502,293
262,ZTF19abxdnhr,6810723,4.21491860115952,-18.2894698561904,-1,,0,0,35,49
263,ZTF19abxdnhr,16781331,3.08763238271422,-11.1914063954443,1,,0,0,5,5
264,ZTF19abxdnhr,16781332,-10.8887844272123,-53.9483316477963,-1,,0,0,17,13
265,ZTF19abxdnhr,16791621,-1.1204358637124152,-1.2144451551314435,1,,0,0,12,10
266,ZTF19abxdnhr,16791622,-12.09768320383205,-33.5870770609054,1,,0,0,8,8
267,ZTF19acbpnii,2890801,0.032099025065234876,-18.0126751827823,1,,0,0,28,33
268,ZTF19acbpnii,2890802,5.323389815099165,-5.4186908699464,1,,0,0,28,298
269,ZTF19abylxyt,6080921,-62.6231483797479,-134.532703545739,-1,,0,0,57,39
270,ZTF19abylxyt,6080922,-51.5043835838176,-104.99773859654749,-1,,0,0,61,100
271,ZTF19abylxyt,16530231,-372.6019241474705,,0,long rise,0,1,16,0
272,ZTF19abylxyt,16530232,-166.7730344383735,,0,,0,1,20,0
273,ZTF19acojuzv,7831231,-19.6661317226061,-33.96470569636235,1,,0,0,109,10
274,ZTF19acojuzv,7831232,0.7694803044427785,4.49545902957517,1,,0,0,142,23
275,ZTF19acojuzv,7831233,,27.4003376617,0,,1,0,0,13
276,ZTF19acojuzv,18180431,-17.3518302384169,,0,,0,1,8,0
277,ZTF19acojuzv,18180432,3.9571700699238153,,0,,0,1,20,0
278,ZTF19aaxibpz,5480301,-11.114388865404251,-16.706514459006698,1,,0,0,52,114
279,ZTF19aaxibpz,5480302,1.2657740531793,17.643214271435703,-1,,0,0,63,138
280,ZTF19aaxibpz,5480303,1.9820491504765465,-40.9855924091167,-1,,0,0,28,39
281,ZTF19aaxibpz,15431102,2.7485192532407,,0,,0,1,21,0
282,ZTF19ablfcjr,4461211,-7.2758285728018945,-4.22124193486351,1,,0,0,38,86
283,ZTF19ablfcjr,4461212,-4.49434588538909,-1.73154005350188,1,,0,0,45,101
284,ZTF19ablfcjr,4461213,-1.54018369752287,-9.03961845241568,1,,0,0,17,28
285,ZTF19ablfcjr,14910301,-45.3104991518563,-65.42274804871904,1,,0,0,5,10
286,ZTF19ablfcjr,14910302,-89.3575399309606,-10.6838489779516,-1,,0,0,7,3
287,ZTF19abueupg,7631311,-9.90049659429793,13.4212120970791,-1,,0,0,325,31
288,ZTF19abueupg,7631312,-2.9111354670874103,-14.0278787117399,-1,,0,0,366,84
289,ZTF19abueupg,7631313,-5.99372444431872,2.82126697882999,1,,0,0,31,56
290,ZTF19abueupg,7641611,24.21180591764175,,0,,0,1,8,0
291,ZTF19abueupg,7970331,4.74666902810461,9.09438451317958,-1,,0,0,505,119
292,ZTF19abueupg,7970332,1.24848559967561,9.78998787310682,-1,,0,0,509,109
293,ZTF19abueupg,7970333,2.4564773542136,4.21612570841935,1,,0,0,41,51
294,ZTF19aakzwao,6261431,-7.93334681233469,10.201581010775701,-1,,0,0,61,130
295,ZTF19aakzwao,6261432,-17.04447327176655,1.1351913462273495,-1,,0,0,70,202
296,ZTF19aakzwao,6261433,-3.61371097385774,-6.48160958620678,1,,0,0,11,25
297,ZTF19aakzwao,16710831,-134.6957835713745,-181.096710824145,1,,0,0,4,5
298,ZTF19aakzwao,16710832,,1.58341327759054,0,,1,0,0,5
299,ZTF19aanhlzi,5270521,-3.65153547247762,5.29319220662756,1,,0,0,25,70
300,ZTF19aanhlzi,5270522,-9.89312368668425,2.58768212372344,1,,0,0,49,113
301,ZTF19aanhlzi,5270523,-24.92395954259615,10.7725064409604,-1,,0,0,10,37
302,ZTF19abimlck,7710521,0.23290193367840087,-17.08074039905135,-1,,0,0,52,60
303,ZTF19abimlck,7710522,5.777577189276361,-4.36576927125694,-1,,0,0,258,109
304,ZTF19abimlck,17721631,-149.167531488842,,0,,0,1,22,0
305,ZTF19abimlck,17721632,-281.96082326482804,,0,,0,1,38,0
306,ZTF19abrbmvt,6460731,-9.31534379580724,-4.16268905282071,-1,,0,0,59,267
307,ZTF19abrbmvt,6460732,7.97805898929814,8.920022200304874,1,,0,0,77,330
308,ZTF19abrbmvt,6460733,0.407711806247468,12.9832512449563,-1,,0,0,27,42
309,ZTF19abrbmvt,16431521,-114.455119774761,,0,,0,1,24,0
310,ZTF19abrbmvt,16431522,-215.822861551068,,0,,0,1,38,0
311,ZTF19abocled,8121121,10.8076424843827,8.40519874673465,1,,0,0,60,99
312,ZTF19abocled,8121122,6.6588951905301546,11.6683867664489,1,,0,0,66,111
313,ZTF19abocled,18440221,-14.3857114527955,,0,,0,1,9,0
314,ZTF19abocled,18440222,-83.9710908260453,,0,,0,1,18,0
315,ZTF19acjfhom,4580431,11.4157853014107,19.58050906296965,1,,0,0,76,34
316,ZTF19acjfhom,4580432,-3.20677113276738,-24.8005488319134,-1,,0,0,79,42
317,ZTF19acjfhom,14521131,3.51808343562693,,0,,0,1,7,0
318,ZTF19acjfhom,14521132,-19.1445738770539,,0,,0,1,9,0
319,ZTF19acazbqm,6960321,-27.08026143941,-27.52094171939565,1,,0,0,57,40
320,ZTF19acazbqm,6960322,0.3198404327134826,-10.3484040723273,-1,,0,0,86,80
321,ZTF19acazbqm,6960323,10.0464351999497,33.6660062244382,-1,,0,0,23,33
